Date, Station, CAPE, CINS
 12Z 19 Jun 2015,  72293,  0.00,  0.00
 00Z 20 Jun 2015,  72293,  0.00,  0.00
 12Z 20 Jun 2015,  72293,  0.00,  0.00
 00Z 21 Jun 2015,  72293,  0.00,  0.00
 12Z 21 Jun 2015,  72293,  0.00,  0.00
 00Z 22 Jun 2015,  72293,  0.00,  0.00
 12Z 22 Jun 2015,  72293,  0.00,  0.00
 00Z 23 Jun 2015,  72293,  0.00,  0.00
 12Z 23 Jun 2015,  72293,  0.00,  0.00
 00Z 24 Jun 2015,  72293,  0.00,  0.00
 12Z 24 Jun 2015,  72293,  0.00,  0.00
 00Z 25 Jun 2015,  72293,  0.00,  0.00
 12Z 25 Jun 2015,  72293,  0.00,  0.00
 00Z 26 Jun 2015,  72293,  0.00,  0.00
 12Z 26 Jun 2015,  72293,  0.00,  0.00
 00Z 27 Jun 2015,  72293,  0.00,  0.00
 12Z 27 Jun 2015,  72293,  0.00,  0.00
 00Z 28 Jun 2015,  72293,  0.00,  0.00
 12Z 28 Jun 2015,  72293,  0.00,  0.00
 00Z 29 Jun 2015,  72293,  0.00,  0.00
 12Z 29 Jun 2015,  72293,  0.00,  0.00
 00Z 30 Jun 2015,  72293,  0.00,  0.00
 12Z 30 Jun 2015,  72293,  0.00,  0.00
 00Z 01 Jul 2015,  72293,  181.63,  -529.17
 12Z 01 Jul 2015,  72293,  0.00,  0.00
 00Z 02 Jul 2015,  72293,  15.48,  -488.10
 12Z 02 Jul 2015,  72293,  0.00,  0.00
 00Z 03 Jul 2015,  72293,  0.00,  0.00
 12Z 03 Jul 2015,  72293,  0.00,  0.00
 00Z 04 Jul 2015,  72293,  0.00,  0.00
 12Z 04 Jul 2015,  72293,  0.02,  0.00
 00Z 05 Jul 2015,  72293,  0.00,  0.00
 12Z 05 Jul 2015,  72293,  0.00,  0.00
 00Z 06 Jul 2015,  72293,  0.00,  0.00
 12Z 06 Jul 2015,  72293,  0.00,  0.00
 00Z 07 Jul 2015,  72293,  0.00,  0.00
 12Z 07 Jul 2015,  72293,  0.23,  0.00
 00Z 08 Jul 2015,  72293,  0.00,  0.00
 12Z 08 Jul 2015,  72293,  2.44,  0.00
 00Z 09 Jul 2015,  72293,  0.00,  0.00
 12Z 09 Jul 2015,  72293,  13.86,  -1.34
 00Z 10 Jul 2015,  72293,  0.00,  0.00
 12Z 10 Jul 2015,  72293,  10.57,  0.00
 00Z 11 Jul 2015,  72293,  0.00,  0.00
 12Z 11 Jul 2015,  72293,  0.00,  0.00
 00Z 12 Jul 2015,  72293,  0.00,  0.00
 12Z 12 Jul 2015,  72293,  0.00,  0.00
 00Z 13 Jul 2015,  72293,  0.00,  0.00
 12Z 13 Jul 2015,  72293,  0.00,  0.00
 00Z 14 Jul 2015,  72293,  0.00,  0.00
 12Z 14 Jul 2015,  72293,  0.00,  0.00
 00Z 15 Jul 2015,  72293,  0.00,  0.00
 12Z 15 Jul 2015,  72293,  0.59,  0.00
 00Z 16 Jul 2015,  72293,  0.00,  0.00
 12Z 16 Jul 2015,  72293,  0.00,  0.00
 00Z 17 Jul 2015,  72293,  0.00,  0.00
 12Z 17 Jul 2015,  72293,  0.00,  0.00
 00Z 18 Jul 2015,  72293,  0.00,  0.00
 12Z 18 Jul 2015,  72293,  0.00,  0.00
 00Z 19 Jul 2015,  72293,  0.00,  0.00
 12Z 19 Jul 2015,  72293,  271.87,  -219.17
 00Z 20 Jul 2015,  72293,  712.03,  -10.72
 12Z 20 Jul 2015,  72293,  96.14,  0.00
 00Z 21 Jul 2015,  72293,  48.10,  -258.88
 12Z 21 Jul 2015,  72293,  13.14,  -523.27
 00Z 22 Jul 2015,  72293,  8.23,  -390.60
 12Z 22 Jul 2015,  72293,  3.97,  -1.50
 00Z 23 Jul 2015,  72293,  0.00,  0.00
 12Z 23 Jul 2015,  72293,  3.28,  -0.22
 00Z 24 Jul 2015,  72293,  0.00,  0.00
 12Z 24 Jul 2015,  72293,  0.00,  0.00
 00Z 25 Jul 2015,  72293,  0.00,  0.00
 12Z 25 Jul 2015,  72293,  0.00,  0.00
 00Z 26 Jul 2015,  72293,  0.00,  0.00
 12Z 26 Jul 2015,  72293,  0.00,  0.00
 00Z 27 Jul 2015,  72293,  0.00,  0.00
 12Z 27 Jul 2015,  72293,  0.42,  0.00
 00Z 28 Jul 2015,  72293,  0.00,  0.00
 12Z 28 Jul 2015,  72293,  0.00,  0.00
 00Z 29 Jul 2015,  72293,  0.00,  0.00
 12Z 29 Jul 2015,  72293,  0.00,  0.00
 00Z 30 Jul 2015,  72293,  0.00,  0.00
 12Z 30 Jul 2015,  72293,  0.00,  0.00
 00Z 31 Jul 2015,  72293,  0.00,  0.00
 12Z 31 Jul 2015,  72293,  0.00,  0.00
 00Z 01 Aug 2015,  72293,  0.00,  0.00
 12Z 01 Aug 2015,  72293,  0.00,  0.00
 00Z 02 Aug 2015,  72293,  0.00,  0.00
 12Z 02 Aug 2015,  72293,  0.00,  0.00
 00Z 03 Aug 2015,  72293,  0.00,  0.00
 12Z 03 Aug 2015,  72293,  0.00,  0.00
 00Z 04 Aug 2015,  72293,  0.00,  0.00
 12Z 04 Aug 2015,  72293,  0.00,  0.00
 00Z 05 Aug 2015,  72293,  0.00,  0.00
 12Z 05 Aug 2015,  72293,  0.00,  0.00
 00Z 06 Aug 2015,  72293,  0.00,  0.00
 12Z 06 Aug 2015,  72293,  0.00,  0.00
 00Z 07 Aug 2015,  72293,  0.00,  0.00
 12Z 07 Aug 2015,  72293,  1.05,  0.00
 00Z 08 Aug 2015,  72293,  0.00,  0.00
 12Z 08 Aug 2015,  72293,  2.07,  -0.09
 00Z 09 Aug 2015,  72293,  0.00,  0.00
 12Z 09 Aug 2015,  72293,  1.03,  0.00
 00Z 10 Aug 2015,  72293,  0.00,  0.00
 12Z 10 Aug 2015,  72293,  1.93,  0.00
 00Z 11 Aug 2015,  72293,  0.00,  0.00
 12Z 11 Aug 2015,  72293,  0.36,  0.00
 00Z 12 Aug 2015,  72293,  0.00,  0.00
 12Z 12 Aug 2015,  72293,  0.00,  0.00
 00Z 13 Aug 2015,  72293,  0.00,  0.00
 12Z 13 Aug 2015,  72293,  0.00,  0.00
 00Z 14 Aug 2015,  72293,  0.00,  0.00
 12Z 14 Aug 2015,  72293,  0.00,  0.00
 00Z 15 Aug 2015,  72293,  0.00,  0.00
 12Z 15 Aug 2015,  72293,  0.00,  0.00
 00Z 16 Aug 2015,  72293,  0.00,  0.00
 12Z 16 Aug 2015,  72293,  0.00,  0.00
 00Z 17 Aug 2015,  72293,  0.00,  0.00
 12Z 17 Aug 2015,  72293,  0.00,  0.00
 00Z 18 Aug 2015,  72293,  0.00,  0.00
 12Z 18 Aug 2015,  72293,  0.06,  0.00
 00Z 19 Aug 2015,  72293,  0.00,  0.00
 12Z 19 Aug 2015,  72293,  0.00,  0.00
 00Z 20 Aug 2015,  72293,  0.00,  0.00
 12Z 20 Aug 2015,  72293,  0.46,  -0.03
 00Z 21 Aug 2015,  72293,  0.00,  0.00
 12Z 21 Aug 2015,  72293,  1.09,  0.00
 00Z 22 Aug 2015,  72293,  0.00,  0.00
 12Z 22 Aug 2015,  72293,  0.11,  0.00
 00Z 23 Aug 2015,  72293,  0.00,  0.00
 12Z 23 Aug 2015,  72293,  0.00,  0.00
 00Z 24 Aug 2015,  72293,  0.00,  0.00
 12Z 24 Aug 2015,  72293,  0.00,  0.00
 00Z 25 Aug 2015,  72293,  0.00,  0.00
 12Z 25 Aug 2015,  72293,  0.00,  0.00
 00Z 26 Aug 2015,  72293,  51.58,  -480.78
 12Z 26 Aug 2015,  72293,  0.01,  -795.85
 00Z 27 Aug 2015,  72293,  0.00,  0.00
 12Z 27 Aug 2015,  72293,  0.00,  0.00
 00Z 28 Aug 2015,  72293,  0.00,  0.00
 12Z 28 Aug 2015,  72293,  0.00,  0.00
 00Z 29 Aug 2015,  72293,  0.00,  0.00
 12Z 29 Aug 2015,  72293,  0.00,  0.00
