Date,            Station,Showalter, Lifed, LIFT, SWEAT,    K,     TT,CAPE, CINS,Equilibrum,LFCT, CAPV,Temp K, PW 
12:00 04 Mar 2015,  72293,  4.24,  3.83,  3.72,  44.99,  13.50,  48.00,  0.00,  0.00,  0.00,  277.19,  12.35  
00:00 05 Mar 2015,  72293,  6.34,  5.67,  5.53,  27.00,  -14.30,  43.60,  0.00,  0.00,  0.00,  272.59,  9.13  
12:00 05 Mar 2015,  72293,  9.57,  9.26,  9.17,  12.98,  -18.70,  33.20,  0.00,  0.00,  0.00,  266.95,  5.32  
00:00 06 Mar 2015,  72293,  6.92,  6.06,  5.93,  62.00,  -16.70,  40.00,  0.00,  0.00,  0.00,  267.47,  6.13  
12:00 06 Mar 2015,  72293,  8.65,  9.62,  9.53,  33.97,  -29.30,  27.40,  0.00,  0.00,  0.00,  263.20,  3.51  
00:00 07 Mar 2015,  72293,  6.74,  5.67,  5.52,  63.00,  -22.10,  36.60,  0.00,  0.00,  0.00,  258.71,  4.56  
12:00 07 Mar 2015,  72293,  6.53,  9.19,  9.08,  45.01,  -1.10,  38.40,  0.00,  0.00,  0.00,  258.93,  6.66  
00:00 08 Mar 2015,  72293,  4.32,  5.56,  5.47,  40.99,  0.30,  44.20,  0.00,  0.00,  0.00,  261.79,  9.30  
12:00 08 Mar 2015,  72293,  8.13,  10.32,  10.25,  61.01,  -9.90,  35.20,  0.00,  0.00,  0.00,  264.74,  7.66  
00:00 09 Mar 2015,  72293,  11.31,  7.43,  7.23,  61.01,  -9.70,  25.40,  0.00,  0.00,  0.00,  274.77,  7.65  
12:00 09 Mar 2015,  72293,  11.36,  6.71,  6.53,  48.00,  -44.10,  20.40,  0.00,  0.00,  0.00,  282.09,  7.29  
00:00 10 Mar 2015,  72293,  6.35,  6.67,  6.48,  42.99,  1.90,  39.00,  0.00,  0.00,  0.00,  277.25,  10.61  
12:00 10 Mar 2015,  72293,  7.77,  7.26,  7.06,  33.00,  -18.30,  36.20,  0.00,  0.00,  0.00,  278.98,  11.16  
00:00 11 Mar 2015,  72293,  10.98,  7.96,  7.72,  18.98,  -29.70,  29.80,  0.00,  0.00,  0.00,  273.39,  9.70  
12:00 11 Mar 2015,  72293,  11.25,  12.41,  12.53,  27.99,  -28.90,  29.80,  0.00,  0.00,  0.00,  269.54,  11.85  
00:00 12 Mar 2015,  72293,  14.20,  11.81,  12.08,  51.01,  1.30,  23.40,  0.00,  0.00,  0.00,  276.64,  17.34  
12:00 12 Mar 2015,  72293,  8.72,  8.28,  8.08,  57.01,  15.90,  36.40,  0.00,  0.00,  0.00,  273.70,  15.21  
00:00 13 Mar 2015,  72293,  7.13,  7.65,  7.41,  62.00,  1.30,  38.40,  0.00,  0.00,  0.00,  273.77,  13.47  
12:00 13 Mar 2015,  72293,  6.83,  7.63,  7.42,  77.02,  8.10,  39.20,  0.00,  0.00,  0.00,  270.41,  12.70  
00:00 14 Mar 2015,  72293,  7.42,  6.68,  6.52,  70.01,  1.70,  37.40,  0.00,  0.00,  0.00,  270.99,  12.71  
12:00 14 Mar 2015,  72293,  10.19,  12.21,  12.19,  69.02,  5.10,  32.00,  0.00,  0.00,  0.00,  267.80,  13.59  
00:00 15 Mar 2015,  72293,  9.13,  8.60,  8.66,  59.98,  3.70,  33.80,  0.00,  0.00,  0.00,  268.00,  15.08  
12:00 15 Mar 2015,  72293,  11.64,  12.39,  12.39,  39.01,  1.30,  28.80,  0.00,  0.00,  0.00,  268.85,  14.01  
00:00 16 Mar 2015,  72293,  12.62,  11.68,  11.53,  30.01,  12.50,  26.80,  0.00,  0.00,  0.00,  270.10,  14.84  
12:00 16 Mar 2015,  72293,  11.96,  12.56,  12.52,  24.01,  -9.50,  28.20,  0.00,  0.00,  0.00,  266.63,  11.11  
00:00 17 Mar 2015,  72293,  12.15,  12.89,  12.74,  19.99,  8.50,  27.80,  0.00,  0.00,  0.00,  264.83,  11.75  
12:00 17 Mar 2015,  72293,  12.43,  14.00,  13.90,  12.00,  6.30,  27.20,  0.00,  0.00,  0.00,  267.20,  11.88  
00:00 18 Mar 2015,  72293,  9.05,  9.52,  9.34,  21.00,  15.50,  34.80,  0.00,  0.00,  0.00,  270.54,  13.79  
